Name,Straße,PLZ/Stadt,Sterne,Bewertungen
Mensateria Ohm ,Wollentorstraße 4,90409 Nürnberg,"3,4",4.578
Cafeteria Hohfederstraße ,Hohfederstraße 40,90489 Nürnberg,"3,6",204
StuCafé Arcisstraße 21 ,Arcisstraße 21,80333 München,-,-
StuBistro Olympiacampus ,Am Olympiacampus 11,80809 München,"3,7",54
StuBistro Martinsried ,Großhaderner Straße 9a,82152 Planegg-Martinsried,"3,6",197
Mensa Martinsried ,Großhaderner Straße 6,82152 Planegg-Martinsried,"3,5",1.780
Mensa Arcisstraße ,Arcisstraße 17,80333 München,"3,6",7.401
StuBistro Schellingstraße ,Schellingstraße 3,80799 München,"3,5",576
StuBistro Oettingenstraße ,Oettingenstraße 67,80538 München,"4,1",187
StuBistro Goethestraße ,Goethestraße 70,80336 München,"3,8",91
StuBistro Butenandtstraße ,Butenandtstraße 13,81377 München,"3,6",1.297
StuBistro Garching ,Boltzmannstraße 19,85748 Garching,"3,5",151
Mensa Weihenstephan ,Maximus-von-Imhof-Forum 5,85354 Freising,"3,5",8.940
Südmensa ,Erwin-Rommel-Straße 60,91058 Erlangen,"3,4",2.560
Mensa Langemarckplatz ,Langemarckplatz 4,91054 Erlangen,"3,6",3.164
StuBistro Akademie ,Alte Akademie 1,85354 Freising,"3,2",467
StuBistro Boltzmannstraße 15 ,Boltzmannstraße 15,85748 Garching,"3,5",63
Mensa Garching ,Boltzmannstraße 19,85748 Garching,"3,6",8.652
StuBistro Adalbertstraße ,Adalbertstraße 5,80799 München,"3,4",591
Mensa Leopoldstraße ,Leopoldstraße 13a,80802 München,"3,5",9.458
StuCafé Lothstraße ,Lothstraße 64,80335 München,-,-
StuBistro Karlstraße ,Karlstraße 6,80333 München,"2,9",97
Mensa Pasing ,Am Stadtpark 20,81243 München,"3,3",740
Mensa Lothstraße ,Lothstraße 13d,80335 München,"3,3",4.991
StuBistro Arcisstraße ,Arcisstraße 12,80333 München,"3,0",40
StuBistro Akademiestraße ,Akademiestraße 2,80799 München,"2,9",90
Cafeteria Veilhofstraße ,Veilhofstraße 34-40,90489 Nürnberg,"3,1",26
Mensa Regensburger Straße ,Regensburger Straße 160,90478 Nürnberg,"3,6",349
Mensa Insel Schütt ,Andreij-Sacharow-Platz 1,90403 Nürnberg,"3,3",883
Ausgabemensa St. Paul ,Dutzendteichstraße 24,90478 Nürnberg,"4,0",47
Cafeteria Bärenschanzstraße ,Bärenschanzstraße 4,90429 Nürnberg,"3,0",36
Cafeteria Bingstraße ,Bingstraße 60,90480 Nürnberg,-,-
Cafeteria Sport ,Universitätsstraße 31,93053 Regensburg,"3,8",56
Cafeteria PT ,Universitätsstraße 31,93053 Regensburg,"3,5",163
Cafeteria Chemie ,Universitätsstraße 31,93053 Regensburg,"3,6",407
Mensa OTH Regensburg (abends) ,Seybothstraße 2,93053 Regensburg,"3,5",796
