Name,Straße,PLZ/Stadt,Sterne,Bewertungen
Mensa Hochschule für Gesundheit ,Universitätsstraße 105,44789 Bochum,"3,5",188
Mensa Hochschule Bochum ,Lennershofstraße 140,44801 Bochum,"3,5",1.819
Mensa EvH RWL ,Immanuel-Kant-Straße 18-20,44803 Bochum,"3,1",138
Mensa Campo ,Endenicher Allee 19,53115 Bonn,"3,6",10.496
Mensa am Hofgarten ,Regina-Pacis-Weg,53113 Bonn,"3,4",8.362
Mensa Campus Nord ,Vogelpothsweg 85,44227 Dortmund,"3,5",3.480
food fakultät ,Vogelpothsweg 74,44227 Dortmund,"3,5",68
Archeteria ,August-Schmidt-Straße 2,44227 Dortmund,"3,2",72
Mensa Sonnenstraße ,Sonnenstraße 96,44139 Dortmund,"3,3",412
Mensa am Max-Ophuels-Platz ,Max-Ophuels-Platz 2,44139 Dortmund,"4,2",43
kostBar ,Emil-Figge-Straße 40a,44227 Dortmund,"3,6",129
Hauptmensa Duisburg ,Lotharstraße 23-25,47057 Duisburg,"4,1",515
Bistro insgrüne ,Bismarckstraße 81,47057 Duisburg,"3,2",120
Essensausgabe Süd ,Universitätsstraße 1,40225 Düsseldorf,"3,5",721
Campus Vita ,Universitätsstraße 1,40225 Düsseldorf,"3,7",289
Mensa Musikhochschule ,Fischerstraße 110,40476 Düsseldorf,"3,5",133
Mensa Kunstakademie ,Eiskellerstraße 1,40213 Düsseldorf,"3,5",165
Mensa Campus Derendorf ,Münsterstraße 156,40476 Düsseldorf,"3,5",1.513
Mensa Folkwang ,Klemensborn 39,45239 Essen,"3,3",475
Bistro Campus Zollverein ,Martin-Kremmer-Straße 21,45327 Essen,"3,4",142
Mensa Campus ,Fortstraße 7,76829 Landau,"3,8",3.237
Mensa Uni-Campus ,Universitätsstraße 1,56072 Koblenz,"3,7",2.504
Mensa TU Kaiserslautern ,Paul-Ehrlich-Straße 30,67663 Kaiserslautern,"3,7",1.791
Cafeteria Atrium ,Paul-Ehrlich-Straße 30,67663 Kaiserslautern,"3,2",105
Mensa Büdesheim ,Berlinstraße 109,55411 Bingen,"3,5",390
Cafe Rochusberg ,Rochusallee 4,55411 Bingen,"3,7",26
Mensa Mahlwerk ,Schwenninger Weg 1,02763 Zittau,-,-
Mensa Kraatschn ,Hochwaldstraße 12,02763 Zittau,"3,6",3.024
Mensa HS Kaiserslautern ,Morlauterer Straße 31,67657 Kaiserslautern,"3,4",1.429
Mensaria am Botanischen Garten ,Philipp-Rosenthal-Straße 33,04103 Leipzig,"3,1",907
Mensa Peterssteinweg ,Straße des 17. Juni 2a,04107 Leipzig,"3,4",1.817
Mensa An den Tierkliniken ,An den Tierkliniken 5,04103 Leipzig,"3,4",459
Neue Mensa ,Bergstraße 51,01069 Dresden,"3,5",10.088
Mensa Straße der Nationen ,Straße der Nationen 62,09111 Chemnitz,"3,5",279
Mensa Reichenhainer Straße ,Reichenhainer Straße 55,09126 Chemnitz,"3,4",2.453
Cafeteria Straße der Nationen ,Straße der Nationen 62,09111 Chemnitz,"3,5",25
Mensa UniCampus unten ,Pfälzer Straße 1,39106 Magdeburg,"3,7",511
Mensa UniCampus oben ,Pfälzer Straße 1,39106 Magdeburg,"3,5",163
Kellercafé im Gebäude 40 ,Zschokkestraße 32,39104 Magdeburg,"2,8",50
Mensa Herrenkrug ,Breitscheidstraße 2,39114 Magdeburg,"3,4",1.317
Cafeteria Reichenhainer Straße ,Reichenhainer Straße 55,09126 Chemnitz,"3,0",32
Mensologie ,Blasewitzer Straße 84,01307 Dresden,"3,8",3.626
Mensa WUeins ,Wundtstraße 1,01217 Dresden,"3,7",1.177
Mensa Siedepunkt ,Zellescher Weg 17,01069 Dresden,"3,4",5.142
BioMensa U-Boot ,Hettnerstraße 3,01069 Dresden,"3,8",757
Alte Mensa ,Mommsenstraße 13,01069 Dresden,"3,5",15.739
Mensa Palucca Hochschule ,Basteiplatz 4,01277 Dresden,"2,3",30
Mensa Matrix ,Reichenbachstraße 1,01069 Dresden,"3,6",2.389
Mensa Stimm-Gabel ,Wettiner Platz 13,01067 Dresden,"3,3",117
Mensa Brühl ,Brühlsche Terrasse 1,01067 Dresden,"3,2",73
Mensa Johannstadt ,Marschnerstraße 38,01307 Dresden,"3,7",2.157
Mensa am Park ,Universitätsstraße 5,04109 Leipzig,"3,5",10.534
Mensa am Medizincampus ,Liebigstraße 25,04103 Leipzig,"3,5",2.855
Mensa am Elsterbecken ,Marschnerstraße 29c,04109 Leipzig,"3,5",1.169
Mensa Schönauer Straße ,Schönauer Straße 113a,04107 Leipzig,"3,4",256
Mensa Academica ,Karl-Liebknecht-Straße 145,04277 Leipzig,"3,5",5.141
Cafeteria Dittrichring ,Dittrichring 21,04109 Leipzig,"3,1",49
Mensa RheinMoselCampus ,Konrad-Zuse-Straße 1,56075 Koblenz,"3,4",1.529
Mensa Bürgerstrasse ,Bürgerstraße 23,76829 Landau,"4,1",103
Mensa Weinberg ,Wolfgang-Langenbeck-Straße 3,06120 Halle (Saale),"3,6",4.488
Mensa Tulpe ,Universitätsring 5,06108 Halle (Saale),"3,5",1.652
Mensa Harz ,Harz 42,06108 Halle (Saale),"3,6",11.075
Mensa Franckesche Stiftungen ,Franckeplatz 1,06110 Halle (Saale),"3,5",3.824
Heidemensa ,Theodor-Lieser-Straße 7,06120 Halle (Saale),"3,6",4.915
Mensa Neuwerk ,Neuwerk 7,06114 Halle (Saale),"3,5",1.146
Mensa Burg ,Seebener Straße 1,06114 Halle (Saale),"3,5",191
Mensa Lübeck ,Mönkhofer Weg 241,23562 Lübeck,"3,5",3.818
Mensa II ,Leibnizstraße 14,24118 Kiel,"3,4",6.995
Mensa I am Westring ,Westring 385,24118 Kiel,"3,4",11.033
Mensa Flensburg ,Kanzleistraße 94,24941 Flensburg,"3,3",2.809
Cafeteria B-Gebäude ,Kanzleistrae 91A,24943 Flensburg,-,-
Mensa Philosophenweg ,Philosophenweg 20,07743 Jena,"3,7",9.848
NANOteria ,Gustav-Kirchhoff-Straße 5,98693 Ilmenau,"3,5",121
Mensa Ehrenberg ,Max-Planck-Ring 1,98693 Ilmenau,"3,7",7.700
Mensa Nordhäuser Straße ,Nordhäuser Straße 63,99089 Erfurt,"3,5",9.375
Mensa Altonaer Straße ,Altonaer Straße 25,99089 Erfurt,"3,7",2.292
Cafeteria Schlüterstraße ,Schlüterstraße 1,99089 Erfurt,"3,5",790
Cafeteria Leipziger Straße ,Leipziger Straße 77,99089 Erfurt,"3,4",170
Cafeteria Mensa Ehrenberg ,Max-Planck-Ring 1,98693 Ilmenau,"3,6",1.326
Cafeteria im Röntgenbau ,Weimarer Straße 25,98693 Ilmenau,"3,8",386
Mensa Ernst-Abbe-Platz ,Ernst-Abbe-Platz 8,07743 Jena,"3,7",28.804
Cafeteria Zur Rosen ,Johannisstraße 13,07743 Jena,"3,9",1.034
Cafeteria Uni-Hauptgebäude ,Schlossgasse 1,07743 Jena,"3,8",3.445
Cafeteria Bibliothek ,Bibliotheksplatz 2,07743 Jena,"3,4",184
Mensa Moritz-von-Rohr-Straße ,Moritz-von-Rohr-Straße 2,07745 Jena,"3,7",4.105
Mensa Carl-Zeiss-Promenade ,Carl-Zeiss-Promenade 6,07745 Jena,"3,6",7.673
Mensa Dockside ,Kaiserstraße 2,24143 Kiel,"3,6",820
Mensa Kesselhaus ,Legienstraße 35,24103 Kiel,"3,5",762
Schwentine-Mensa ,Grenzstraße 14,24149 Kiel,"3,6",2.357
Boje 23 ,Heikendorfer Weg 89,24149 Kiel,-,-
American Diner ,Sokratesplatz 6,24149 Kiel,"3,2",35
Cafeteria Musikhochschule ,Große Petersgrube 17-19,23552 Lübeck,"3,5",291
